"drawNumber","drawDate","nextDrawDate","ball1","ball2","ball3","ball4","ball5","div1Winners","div1Payout","div2Winners","div2Payout","div3Winners","div3Payout","div4Winners","div4Payout","totalPrizePool","totalSales","estimatedJackpot","guaranteedJackpot","numWinners","millionairs"
403,2020-04-16,2020-04-17,19,15,31,18,21,1,286919.3,168,393.4,6204,21.3,61473,5.3,810962.6,1611906,3e+05,0,67846,1
404,2020-04-17,2020-04-18,6,29,30,31,1,1,342172.8,183,430.7,6444,24.4,67326,5.6,955250.1,1922319,220000,0,73954,1
405,2020-04-18,2020-04-19,4,2,15,8,22,2,146223.9,255,264.2,7883,17.1,68011,4.9,827872,1642965,2e+05,0,76151,2
406,2020-04-19,2020-04-20,17,10,30,7,14,0,0,181,1420.5,4763,20.2,47309,4.9,585137.2,1174098,240000,0,52253,0
407,2020-04-20,2020-04-21,23,27,36,10,4,1,283263,218,299.3,6231,21,63208,5,795401.4,1591365,260000,0,69658,1
408,2020-04-21,2020-04-22,19,22,25,7,5,0,0,290,1366.9,8685,17.1,79735,4.5,903722,1810071,230000,0,88710,0
409,2020-04-22,2020-04-23,22,23,28,8,3,2,139264.3,195,329,6382,20.1,62992,5,785921.8,1564767,2e+05,0,69571,2
410,2020-04-23,2020-04-24,1,22,14,17,7,2,142119.3,239,274,6957,18.8,63062,5,795826.2,1596846,3e+05,0,70260,2
411,2020-04-24,2020-04-25,28,26,20,13,1,0,0,196,2283.9,6803,24.6,73583,5.5,1019704.7,2044095,220000,0,80582,0
412,2020-04-25,2020-04-26,29,31,12,9,34,4,83226.6,247,310.5,7821,19.6,73970,5.1,940138.5,1870260,2e+05,0,82042,4
413,2020-04-26,2020-04-27,36,30,9,5,29,0,0,98,1467.3,2673,20.2,26748,4.8,326180.4,656631,120000,0,29519,0
414,2020-04-27,2020-04-28,9,13,14,11,19,0,0,45,2413.2,2176,18.7,21077,4.6,246239.4,495858,125000,0,23298,0
415,2020-04-28,2020-04-29,1,22,17,3,21,0,0,56,1874.6,1983,19.8,19649,4.9,240521.1,479343,70000,0,21688,0
416,2020-04-29,2020-04-30,1,16,29,19,20,1,73695.7,39,435.2,1600,21.3,15778,5.2,206794.1,414021,60000,0,17418,1
417,2020-04-30,2020-05-01,4,6,33,35,15,0,0,75,1179.3,1654,20,16094,5,201997.5,403884,80000,0,17823,0
418,2020-05-01,2020-05-02,19,12,1,18,24,0,0,40,1847.3,1354,20.4,13627,4.9,168285.9,337401,55000,0,15021,0
419,2020-05-02,2020-05-03,21,31,17,26,4,0,0,42,1515.6,1110,21.5,11160,5.2,145552.2,290649,35000,0,12312,0
420,2020-05-03,2020-05-04,18,24,26,12,22,0,0,39,1530.6,1159,19.3,10789,5,136007.1,272571,55000,0,11987,0
421,2020-05-04,2020-05-05,25,33,26,10,7,0,0,32,1825,1061,20.6,10404,5.1,133317,266670,60000,0,11497,0
422,2020-05-05,2020-05-06,3,26,6,21,29,1,50546.8,37,314.7,1156,20.1,11269,5,141771.3,283971,45000,0,12463,1
423,2020-05-06,2020-05-07,12,28,36,34,35,0,0,24,2307.7,971,21.4,9085,5.6,127040.2,252909,50000,0,10080,0
424,2020-05-07,2020-05-08,12,34,24,9,25,0,0,35,1696.8,1161,19.1,10855,5,135838.1,271173,60000,0,12051,0
425,2020-05-08,2020-05-09,35,34,20,28,25,0,0,19,3228.4,889,25.9,9747,5.7,139922.6,280089,40000,0,10655,0
426,2020-05-09,2020-05-10,19,14,21,15,32,1,47695.3,51,215.4,1184,18.6,10571,5,133558.1,267951,40000,0,11807,1
427,2020-05-10,2020-05-11,7,3,22,35,10,1,43400.3,31,322.5,1002,19.9,9834,5,122507.6,243822,50000,0,10868,1
428,2020-05-11,2020-05-12,31,28,30,12,13,0,0,25,2210.6,902,22.9,9580,5.2,125736.8,252354,55000,0,10507,0
429,2020-05-12,2020-05-13,5,18,20,15,31,1,48410.8,44,253.4,1117,20,10499,5.2,136495.2,271971,50000,0,11661,1
430,2020-05-13,2020-05-14,6,31,27,15,18,0,0,29,1836.3,944,21.1,9147,5.2,120735.5,243162,45000,0,10120,0
431,2020-05-14,2020-05-15,12,22,2,28,11,1,46196.9,39,272.9,1123,19,11050,4.7,130112,259533,60000,0,12213,1
432,2020-05-15,2020-05-16,14,29,12,3,16,0,0,36,1707.2,1177,19.5,11603,4.8,140105.1,280635,50000,0,12816,0
433,2020-05-16,2020-05-17,7,14,22,32,16,0,0,37,1487,980,21,9869,5.1,125930.9,251241,40000,0,10886,0
434,2020-05-17,2020-05-18,14,3,17,24,13,0,0,31,1664.8,1036,18.7,9541,4.9,117732.9,235653,50000,0,10608,0
435,2020-05-18,2020-05-19,30,19,18,7,16,1,42048.8,22,440.3,903,21.4,9487,5,118494.6,236229,50000,0,10413,1
436,2020-05-19,2020-05-20,25,19,31,24,27,2,20626.5,22,431.9,885,21.5,8743,5.2,115245.9,231759,45000,0,9652,2
437,2020-05-20,2020-05-21,24,28,26,16,33,0,0,38,1418.7,903,22.4,9069,5.4,123110.4,246165,40000,0,10010,0
438,2020-05-21,2020-05-22,25,15,8,13,21,1,45738.7,38,277.2,1101,19.1,10547,4.9,128981.7,256959,60000,0,11687,1
439,2020-05-22,2020-05-23,15,27,33,31,2,0,0,21,2890.9,1075,21.2,10330,5.3,138247.9,277206,50000,0,11426,0
440,2020-05-23,2020-05-24,9,12,3,13,31,0,0,32,1736.2,1068,19.4,10674,4.7,126445.4,253695,40000,0,11774,0
441,2020-05-24,2020-05-25,23,19,20,21,11,0,0,50,1011.6,1026,18.5,9767,4.8,116442.6,230946,45000,0,10843,0
442,2020-05-25,2020-05-26,36,27,25,15,34,0,0,68,832.9,1077,19.7,10349,4.9,128564.2,258621,55000,0,11494,0
443,2020-05-26,2020-05-27,17,5,25,14,12,1,48813.5,41,274.2,1219,18.4,11807,4.7,137978.2,274233,45000,0,13068,1
444,2020-05-27,2020-05-28,36,22,19,1,34,1,47030.4,37,292.8,1064,20.4,10199,5.1,131584.5,264216,40000,0,11301,1
445,2020-05-28,2020-05-29,9,20,26,25,12,1,49516.8,46,247.9,1199,19,11654,4.7,138475,278184,0,0,12900,1
446,2020-05-29,2020-05-30,9,34,20,15,13,0,0,41,1564.4,1131,21.3,11666,5,146560.7,292878,50000,0,12838,0
447,2020-05-30,2020-05-31,12,23,20,5,14,0,0,45,1354.7,1304,17.5,11664,4.8,139768.7,278361,40000,0,13013,0
448,2020-05-31,2020-06-01,34,27,23,12,25,0,0,31,1803.7,1129,18.5,10081,5,127206.2,255321,1e+05,0,11241,0
449,2020-06-01,2020-06-02,14,15,22,8,36,0,0,70,1565.8,2092,19.6,20273,4.9,249946.9,500481,1e+05,0,22435,0
450,2020-06-02,2020-06-03,7,34,23,8,36,0,0,88,1832.2,3075,19.7,30567,4.8,368532.7,736221,120000,0,33730,0
451,2020-06-03,2020-06-04,21,26,24,25,13,0,0,123,1670.4,3664,21,35488,5.3,470489.6,938187,120000,0,39275,0
452,2020-06-04,2020-06-05,13,4,33,22,25,3,64186.3,205,216.4,4475,19.8,43015,5,540600.9,1081791,150000,0,47698,3
453,2020-06-05,2020-06-06,5,9,1,34,27,3,76452.7,189,279.5,5577,18.9,53649,4.8,645104.1,1288530,180000,0,59418,3
454,2020-06-06,2020-06-07,8,6,3,5,23,0,0,227,1166.9,5899,16.8,52049,4.6,603414.9,1209540,1e+05,0,58175,0
455,2020-06-07,2020-06-08,23,22,17,28,33,1,151729.2,102,342.7,3189,22,32323,5.2,424922.2,852411,175000,0,35615,1
456,2020-06-08,2020-06-09,2,31,32,28,15,0,0,122,2281.9,4511,23.1,46807,5.4,635353.7,1271220,250000,0,51440,0
457,2020-06-09,2020-06-10,1,31,23,36,35,0,0,188,1743.7,5864,20.9,57866,5.2,751276.4,1496892,225000,0,63918,0
458,2020-06-10,2020-06-11,22,12,2,9,5,7,35196.4,282,201.3,7078,16.1,59295,4.6,689854.2,1384128,2e+05,0,66662,7
459,2020-06-11,2020-06-12,1,36,29,30,18,1,252397.2,187,310.8,5541,20.9,53191,5.3,708236,1417962,3e+05,0,58920,1
460,2020-06-12,2020-06-13,3,26,5,35,25,1,285219.6,251,261.8,6481,20.3,65010,4.9,801044.7,1602357,280000,0,71743,1
461,2020-06-13,2020-06-14,8,26,3,19,22,1,246203.9,197,287.8,6018,18.9,56349,4.9,692750.8,1383168,175000,0,62565,1
462,2020-06-14,2020-06-15,2,33,30,7,12,1,161176.1,148,250.9,3981,18.6,36743,4.9,452396.6,905484,2e+05,0,40873,1
463,2020-06-15,2020-06-16,18,30,21,29,28,0,0,150,2096.1,5248,22.4,51258,5.6,719015,1435734,250000,0,56656,0
464,2020-06-16,2020-06-17,18,4,9,22,32,2,116384.8,221,242.6,5685,18.9,52785,4.9,652477.2,1307694,225000,0,58693,2
465,2020-06-17,2020-06-18,18,15,25,14,30,1,243686.6,163,344.4,5190,21.6,51349,5.3,684077.5,1369026,220000,0,56703,1
466,2020-06-18,2020-06-19,19,22,12,14,30,1,245312.6,164,344.5,5261,21.5,53710,5.1,688843.1,1378161,3e+05,0,59136,1
467,2020-06-19,2020-06-20,28,24,14,9,36,2,149936.3,217,318.3,6884,20.1,65699,5.1,842377,1684677,250000,0,72802,2
468,2020-06-20,2020-06-21,7,25,5,2,8,1,259469.5,272,219.7,7111,16.8,61716,4.7,728757.9,1457694,175000,0,69100,1
469,2020-06-21,2020-06-22,35,12,36,28,33,0,0,127,1610.5,4133,18.5,37027,5.1,469831.7,933906,225000,0,41287,0
470,2020-06-22,2020-06-23,20,33,34,6,12,4,60559.5,167,334.1,5652,19.7,55639,4.8,676444.3,1360887,3e+05,0,61462,4
471,2020-06-23,2020-06-24,31,14,4,27,15,0,0,214,1614.6,6169,21,61228,5.2,793459,1577694,270000,0,67611,0
472,2020-06-24,2020-06-25,26,25,27,31,18,1,252844.2,142,410.1,4966,23.5,52049,5.4,708844,1420473,225000,0,57158,1
473,2020-06-25,2020-06-26,29,5,25,9,33,3,97308.3,254,264.7,6981,19.2,67089,4.9,821930,1640028,3e+05,0,74327,3
474,2020-06-26,2020-06-27,15,1,13,9,23,3,116103.6,269,298.3,7866,20.4,75952,5.1,976375.1,1956801,3e+05,0,84090,3
475,2020-06-27,2020-06-28,34,29,13,24,35,0,0,212,1712.6,6053,22.5,61857,5.3,827105.8,1657884,2e+05,0,68122,0
476,2020-06-28,2020-06-29,13,22,27,23,1,1,197592.8,107,425.4,4061,22.4,41441,5.4,557858.4,1110072,3e+05,0,45610,1
477,2020-06-29,2020-06-30,29,4,8,31,35,0,0,205,1681.6,5869,22,61060,5.1,785252,1574082,350000,0,67134,0
478,2020-06-30,2020-07-01,22,10,30,21,28,1,329417.1,199,381.2,7201,21.1,72320,5.1,926049,1850658,325000,0,79721,1
479,2020-07-01,2020-07-02,5,35,33,24,36,3,99175.2,261,262.6,8134,16.8,69014,4.8,833982.6,1671492,280000,0,77412,3
480,2020-07-02,2020-07-03,25,10,27,29,17,2,151777,189,370,6800,20.6,65551,5.2,854429.2,1705359,350000,0,72542,2
481,2020-07-03,2020-07-04,34,7,17,11,33,1,369387.5,335,254,9829,17.3,88577,4.7,1040831.1,2075211,350000,0,98742,1
482,2020-07-04,2020-07-05,34,4,30,25,35,3,103145.3,178,400.3,6641,21.5,67384,5.1,867129.2,1738404,2e+05,0,74206,3
483,2020-07-05,2020-07-06,23,16,2,28,21,0,0,102,2474.5,4264,22.1,43631,5.2,573514.6,1152483,3e+05,0,47997,0
484,2020-07-06,2020-07-07,26,12,1,8,9,0,0,209,1739.7,6564,20.8,66335,5,831803.5,1660251,4e+05,0,73108,0
485,2020-07-07,2020-07-08,25,31,1,30,35,1,343508.9,222,356.4,7314,21.6,70249,5.5,966981.6,1929825,3e+05,0,77786,1
486,2020-07-08,2020-07-09,17,2,10,35,33,2,151460.5,206,338.7,6568,21.2,67220,5,848034.8,1701804,3e+05,0,73996,2
487,2020-07-09,2020-07-10,1,33,25,5,10,0,0,298,1243.2,7361,18.9,67890,5,849046.5,1691688,4e+05,0,75549,0
488,2020-07-10,2020-07-11,13,33,29,22,36,2,172170.4,254,312.3,8168,19.4,78057,4.9,964603.5,1934499,350000,0,86481,2
489,2020-07-11,2020-07-12,20,15,32,14,24,2,137205.4,246,256.9,6308,20.1,59718,5.1,768960.8,1541634,2e+05,0,66274,2
490,2020-07-12,2020-07-13,29,18,12,14,4,1,179557,133,311,4282,19.2,39718,5.1,505696.2,1008747,3e+05,0,44134,1
491,2020-07-13,2020-07-14,27,23,1,32,21,2,127697.3,175,336.2,5207,22.6,53268,5.4,719555,1434801,3e+05,0,58652,2
492,2020-07-14,2020-07-15,10,32,28,7,9,0,0,171,2065.4,5963,22.2,63322,5,802172,1612719,3e+05,0,69456,0
493,2020-07-15,2020-07-16,28,10,3,18,20,0,0,240,1456.2,6823,19.2,63177,5.1,802692.3,1595862,3e+05,0,70240,0
494,2020-07-16,2020-07-17,1,14,13,36,35,1,292546,195,345.6,6304,21.4,63870,5.1,820580.6,1643517,4e+05,0,70370,1
495,2020-07-17,2020-07-18,25,31,12,10,32,1,337265.3,240,323.7,6693,23.2,72925,5.2,949440.9,1894749,4e+05,0,79859,1
496,2020-07-18,2020-07-19,2,35,26,9,1,1,296807.4,156,438.2,6370,21.4,65221,5,827589.6,1667457,2e+05,0,71748,1
497,2020-07-19,2020-07-20,11,12,27,18,29,1,192035.5,124,356.7,4393,20.2,43469,5,542349.9,1078851,3e+05,0,47987,1
498,2020-07-20,2020-07-21,20,1,23,11,14,0,0,182,1915.4,6058,21.5,61739,5.1,793718.7,1591755,4e+05,0,67979,0
499,2020-07-21,2020-07-22,1,34,7,29,24,0,0,221,1737.2,6591,21.9,67774,5.2,880688.9,1753059,3e+05,0,74586,0
500,2020-07-22,2020-07-23,5,26,22,1,16,1,292227.2,203,331.5,6610,20.3,65726,4.9,815762.1,1641726,3e+05,0,72540,1
501,2020-07-23,2020-07-24,29,16,30,25,27,1,297170.5,170,402.7,6062,22.6,61321,5.5,839896.2,1669497,4e+05,0,67554,1
502,2020-07-24,2020-07-25,3,11,34,20,22,1,361824,317,262.9,9262,18,83412,4.8,1012256.9,2032719,325000,0,92992,1
503,2020-07-25,2020-07-26,7,31,6,1,15,2,169980.7,252,310.7,7829,20,76018,5,954927.8,1909896,2e+05,0,84101,2
504,2020-07-26,2020-07-27,36,9,25,35,32,0,0,203,1352.5,5985,17.2,52182,4.8,627973.1,1253640,320000,0,58370,0
505,2020-07-27,2020-07-28,35,23,26,14,19,3,109985.1,245,310.2,7249,21,71120,5.2,928007.3,1853682,4e+05,0,78617,3
506,2020-07-28,2020-07-29,31,29,36,10,24,2,180959.3,265,314.6,8056,20.7,80768,5,1015886.8,2033250,4e+05,0,89091,2
507,2020-07-29,2020-07-30,33,8,6,10,30,2,168620.4,212,366.4,7601,20.4,75539,5,947673,1894611,320000,0,83354,2
508,2020-07-30,2020-07-31,5,12,1,14,34,4,85976.7,238,332.8,7724,20.5,78019,4.9,963748.3,1932060,4e+05,0,85985,4
509,2020-07-31,2020-08-01,8,11,18,2,17,2,201261,300,309.1,9494,19.5,92637,4.9,1134306.3,2261361,370000,0,102433,2
510,2020-08-01,2020-08-02,21,18,6,33,4,2,176961.5,305,267.3,8400,19.4,81113,4.9,995863.2,1988331,2e+05,0,89820,2
511,2020-08-02,2020-08-03,13,4,11,27,5,2,114742.7,196,269.6,5239,20.3,52720,4.8,641734.7,1289244,3e+05,0,58157,2
512,2020-08-03,2020-08-04,33,14,15,16,8,1,362633,249,335.5,7778,21.4,79216,5.1,1016623.3,2037264,4e+05,0,87244,1
513,2020-08-04,2020-08-05,11,26,6,9,35,2,204070.8,304,309.2,9672,19.5,92780,4.9,1145364.4,2292930,350000,0,102758,2
514,2020-08-05,2020-08-06,11,8,3,12,26,1,378246.1,272,320.3,9165,19,86453,4.9,1063122.4,2124978,3e+05,0,95891,1
515,2020-08-06,2020-08-07,6,30,25,17,31,5,76820.2,262,337.7,8011,22.1,80749,5.3,1077591.2,2157870,450000,0,89027,5
516,2020-08-07,2020-08-08,34,13,22,31,12,0,0,309,1678,8893,21.8,91624,5.2,1188814.2,2367573,4e+05,0,100826,0
517,2020-08-08,2020-08-09,31,34,30,36,32,19,19442.3,671,126.8,9243,18.4,77132,5.3,1033357.3,2075304,2e+05,0,87065,19
518,2020-08-09,2020-08-10,6,10,1,5,21,0,0,240,1259.9,6446,17.6,57018,4.9,695213.8,1380696,350000,0,63704,0
519,2020-08-10,2020-08-11,4,29,32,33,20,1,300044.5,194,356.3,6525,21.2,65862,5.1,843392.9,1685643,4e+05,0,72582,1
520,2020-08-11,2020-08-12,4,22,13,20,30,0,0,253,1804,7918,21.6,81366,5.1,1042407.4,2084079,380000,0,89537,0
521,2020-08-12,2020-08-13,2,4,18,1,30,1,356344.6,219,374.8,8248,19.9,76150,5.2,998541,2001936,3e+05,0,84618,1
522,2020-08-13,2020-08-14,29,6,13,31,1,2,176543.9,249,326.6,7228,22.5,74773,5.3,993338.1,1983639,450000,0,82252,2
523,2020-08-14,2020-08-15,12,19,1,29,10,0,0,306,1693.7,9240,21,92538,5.1,1184256,2366520,4e+05,0,102084,0
524,2020-08-15,2020-08-16,10,34,21,24,16,1,375447.9,279,309.9,8606,20.1,81676,5.1,1051438.2,2109258,2e+05,0,90562,1
525,2020-08-16,2020-08-17,27,9,34,28,25,1,244857.2,145,389,5158,21.8,52275,5.2,685536.6,1375602,4e+05,0,57579,1
526,2020-08-17,2020-08-18,13,15,14,24,31,1,348863.8,241,333.4,7565,21.3,73933,5.3,982192.6,1959909,4e+05,0,81740,1
527,2020-08-18,2020-08-19,19,17,30,11,20,1,363675.9,237,353.5,8911,18.8,84163,4.8,1018964.6,2043123,4e+05,0,93312,1
528,2020-08-19,2020-08-20,1,36,9,19,8,1,324202.1,364,205.2,8736,17.1,77413,4.7,912121.6,1821360,4e+05,0,86514,1
529,2020-08-20,2020-08-21,24,32,26,31,30,5,66753.8,206,373.1,6781,22.6,68585,5.5,941095.7,1875108,450000,0,75577,5
530,2020-08-21,2020-08-22,36,12,3,32,6,3,130576.9,315,286.5,9449,19.1,89582,4.9,1101405.9,2200734,4e+05,0,99349,3
531,2020-08-22,2020-08-23,16,13,27,3,22,2,165907.5,236,323.8,7316,20.9,72907,5,925671.2,1864128,2e+05,0,80461,2
532,2020-08-23,2020-08-24,26,16,21,36,7,2,104320.3,161,298.5,4666,20.6,46044,5.1,587643.1,1172139,380000,0,50873,2
533,2020-08-24,2020-08-25,28,13,3,19,18,1,309258.1,209,340.8,6752,21.1,67963,5.1,869563.8,1737405,450000,0,74925,1
534,2020-08-25,2020-08-26,16,35,29,33,20,1,382280,324,271.8,8654,20.4,85998,5,1076874.8,2147640,4e+05,0,94977,1
535,2020-08-26,2020-08-27,17,30,9,35,24,3,118936.4,250,328.7,7529,21.8,77374,5.1,997723.8,2004546,380000,0,85156,3
536,2020-08-27,2020-08-28,30,1,34,33,15,2,184039.6,217,390.7,7863,21.6,80775,5.1,1034654.4,2067861,5e+05,0,88857,2
537,2020-08-28,2020-08-29,8,17,12,5,30,1,428381.2,289,341.4,9578,20.6,96326,5,1205982.6,2406636,4e+05,0,106194,1
538,2020-08-29,2020-08-30,15,18,24,23,36,1,356473.9,281,292.3,8125,20.2,80087,5,1003170.2,2002662,2e+05,0,88494,1
539,2020-08-30,2020-08-31,15,5,13,25,3,2,118407.5,201,271.3,5947,18.3,54668,4.8,662582.8,1330422,380000,0,60818,2
540,2020-08-31,2020-09-01,22,18,36,26,1,1,359665.1,286,289.7,8296,20,79800,5,1007439.3,2020590,420000,0,88383,1
541,2020-09-01,2020-09-02,17,32,31,14,23,1,397780.9,250,366.5,8431,21.7,84517,5.3,1120298.7,2234724,4e+05,0,93199,1
542,2020-09-02,2020-09-03,25,22,14,20,5,2,177609.7,261,313.5,8358,19.6,79863,5,1000174.7,1995615,380000,0,88484,2
543,2020-09-03,2020-09-04,14,16,8,22,27,4,97378.8,319,281.2,8916,20.1,84561,5.1,1089690.7,2188287,450000,0,93800,4
544,2020-09-04,2020-09-05,9,5,14,17,16,0,0,336,1592.4,9776,20.5,99058,4.9,1220838.6,2443170,4e+05,0,109170,0
545,2020-09-05,2020-09-06,23,25,22,14,12,1,347643.6,231,346.7,7855,20.4,76378,5.1,977501.1,1953054,2e+05,0,84465,1
546,2020-09-06,2020-09-07,20,30,32,34,18,2,116170.1,194,275.9,5592,19.1,49803,5.2,651647.6,1305282,380000,0,55591,2
547,2020-09-07,2020-09-08,16,30,1,3,34,1,337002.6,204,380.5,6950,22.4,74028,5.1,947847.4,1893273,450000,0,81183,1
548,2020-09-08,2020-09-09,9,8,4,18,30,1,401950.9,318,291.1,9924,18.6,93491,4.8,1127863.9,2258151,4e+05,0,103734,1
549,2020-09-09,2020-09-10,35,28,21,12,29,2,183022.6,238,354.3,7810,21.6,77226,5.3,1028362.4,2056434,380000,0,85276,2
550,2020-09-10,2020-09-11,29,17,21,3,10,4,91683.5,301,280.6,8374,20.2,79751,5.2,1035054.6,2060304,450000,0,88430,4
551,2020-09-11,2020-09-12,16,25,26,2,32,1,410802.1,251,377,8432,22.5,85402,5.3,1147779.7,2307876,4e+05,0,94086,1
552,2020-09-12,2020-09-13,35,11,1,16,18,0,0,229,1801.4,7475,20.6,75601,5,944510.6,1883583,2e+05,0,83305,0
553,2020-09-13,2020-09-14,18,16,23,14,29,1,218018.9,155,323.9,4732,21.2,46774,5.2,611766.6,1224825,380000,0,51662,1
554,2020-09-14,2020-09-15,7,31,16,35,32,1,323465.6,232,321.2,7062,21.1,70452,5.2,913342.6,1817223,450000,0,77747,1
555,2020-09-15,2020-09-16,18,32,28,29,34,3,127683,287,307.4,8343,21.2,81910,5.2,1074076.4,2151960,4e+05,0,90543,3
556,2020-09-16,2020-09-17,3,8,34,23,4,3,116997.6,281,287.7,8204,19.7,79638,4.9,983681.5,1971870,380000,0,88126,3
557,2020-09-17,2020-09-18,19,25,18,30,15,2,174532.6,246,326.8,8073,19.9,79167,4.9,978029,1961040,5e+05,0,87488,2
558,2020-09-18,2020-09-19,25,12,30,3,6,3,134947.6,325,287,9343,20,89634,5.1,1142111.2,2274399,4e+05,0,99305,3
559,2020-09-19,2020-09-20,9,16,22,28,25,3,107411.5,230,322.6,7126,20.8,70414,5.1,903764.7,1810305,2e+05,0,77773,3
560,2020-09-20,2020-09-21,15,24,36,18,4,5,42520.8,220,222.6,4914,19.9,49539,4.8,597151.8,1194405,380000,0,54678,5
561,2020-09-21,2020-09-22,35,28,3,9,2,1,302996.4,204,342.2,6621,21.1,68040,5,852708.3,1702227,450000,0,74866,1
562,2020-09-22,2020-09-23,3,12,28,20,5,1,350355.8,262,308,7931,20.3,81175,4.8,981691.1,1968291,4e+05,0,89369,1
563,2020-09-23,2020-09-24,13,30,35,9,27,2,162224.4,236,316.6,6761,22.1,70734,5.1,909327.9,1822746,3e+05,0,77733,2
564,2020-09-24,2020-09-25,29,24,17,12,28,2,137879.3,190,334.4,6205,20.5,60606,5.1,775587.7,1549206,3e+05,0,67003,2
565,2020-09-25,2020-09-26,2,25,24,7,20,2,195749.5,300,300.6,9364,19.3,88802,4.9,1097534,2199432,4e+05,0,98468,2
566,2020-09-26,2020-09-27,10,34,8,16,30,5,65945.9,237,320.4,7505,20.2,73392,5.1,931564.5,1852413,2e+05,0,81139,5
567,2020-09-27,2020-09-28,19,12,4,29,21,0,0,207,1338.9,5365,19.4,51272,4.9,632466.1,1265517,350000,0,56844,0
568,2020-09-28,2020-09-29,9,6,33,31,36,3,112502.2,327,237.7,9230,16.8,80182,4.7,947153.9,1896105,450000,0,89742,3
569,2020-09-29,2020-09-30,32,20,8,9,2,1,388044.5,320,279.4,9376,19.1,87986,4.9,1087665.5,2180025,4e+05,0,97683,1
570,2020-09-30,2020-10-01,25,4,32,8,13,2,190115.8,289,303,8376,20.9,81804,5.2,1068237.8,2136132,380000,0,90471,2
571,2020-10-01,2020-10-02,6,20,13,1,21,1,392984.4,249,363.5,8487,21.3,84838,5.2,1105426.6,2207778,450000,0,93575,1
572,2020-10-02,2020-10-03,16,27,2,17,15,1,432046.6,304,327.4,9366,21.3,93266,5.2,1216055.2,2427228,4e+05,0,102937,1
573,2020-10-03,2020-10-04,25,24,6,12,27,2,176322.5,246,330.2,8031,20.2,76950,5.1,988545.4,1981152,2e+05,0,85229,2
574,2020-10-04,2020-10-05,20,13,18,6,10,1,231547.3,175,304.7,5504,19.4,51733,5,650312.4,1300827,380000,0,57413,1
575,2020-10-05,2020-10-06,9,18,24,8,26,1,366951.4,242,349.3,8642,19.6,82683,5,1034280.2,2061525,450000,0,91568,1
576,2020-10-06,2020-10-07,17,22,26,27,33,1,429296.5,330,299.6,9917,19.9,93843,5.1,1204112.1,2411778,380000,0,104091,1
577,2020-10-07,2020-10-08,7,30,4,19,14,2,195701.4,311,289.9,9853,18.3,91837,4.7,1093505.5,2198892,350000,0,102003,2
578,2020-10-08,2020-10-09,33,20,27,14,19,0,0,274,1795.7,8345,22.1,87291,5.2,1130359.5,2246700,450000,0,95910,0
579,2020-10-09,2020-10-10,26,7,25,32,31,0,0,266,2035.9,9211,22,93492,5.2,1230349.8,2472828,4e+05,0,102969,0
580,2020-10-10,2020-10-11,33,13,35,16,10,4,89122.2,212,387.4,7576,21.7,79507,5.1,1008502.5,2002746,2e+05,0,87299,4
581,2020-10-11,2020-10-12,28,10,15,30,8,2,114006.1,134,391.9,5056,20.7,49698,5.1,638645.8,1280967,360000,0,54890,2
582,2020-10-12,2020-10-13,3,6,12,29,16,2,173045.3,301,264.8,8629,18.5,79703,4.8,968006.3,1944330,450000,0,88635,2
583,2020-10-13,2020-10-14,23,7,5,34,29,4,96341.2,301,294.9,9219,19.2,86676,5,1084514.5,2164971,4e+05,0,96200,4
584,2020-10-14,2020-10-15,22,30,29,32,17,0,0,240,1808,7303,22.3,74380,5.3,990990.9,1981293,380000,0,81923,0
585,2020-10-15,2020-10-16,2,13,10,21,29,0,0,263,1740.1,7653,22.4,78396,5.3,1044572.3,2089749,450000,0,86312,0
586,2020-10-16,2020-10-17,7,13,23,14,1,3,135921.3,286,328.4,9141,20.5,89964,5.1,1147893.2,2290809,4e+05,0,99394,3
587,2020-10-17,2020-10-18,18,24,35,22,32,1,326155,218,344.6,7402,20.4,72708,5,915818.6,1832331,2e+05,0,80329,1
588,2020-10-18,2020-10-19,34,25,35,10,9,1,210519.4,155,312.9,4498,21.5,47043,5,590940.9,1182693,350000,0,51697,1
589,2020-10-19,2020-10-20,19,36,4,20,12,1,310801.9,350,204.5,8715,16.4,75706,4.6,873550.5,1746078,450000,0,84772,1
590,2020-10-20,2020-10-21,23,6,27,24,33,1,353925,253,322.3,8230,19.8,78699,5,991915.9,1988343,380000,0,87183,1
591,2020-10-21,2020-10-22,10,1,5,14,23,1,323575.7,237,314.4,7615,19.6,71223,5.1,910579.8,1817841,350000,0,79076,1
592,2020-10-22,2020-10-23,36,16,8,26,7,3,109658,310,244.5,7974,19,75154,4.9,924529.6,1848168,450000,0,83441,3
593,2020-10-23,2020-10-24,21,10,8,22,28,0,0,245,1966,8479,21.3,87091,5,1097727.7,2199504,4e+05,0,95815,0
594,2020-10-24,2020-10-25,11,28,30,15,24,3,108839.9,280,268.6,7547,19.9,73187,5,917848,1834380,2e+05,0,81017,3
595,2020-10-25,2020-10-26,31,33,14,1,8,2,107566.3,151,328.3,4323,23,46238,5.2,604572.5,1208610,350000,0,50714,2
596,2020-10-26,2020-10-27,6,21,18,32,27,7,45626.9,236,311.7,7250,20.3,69598,5.1,895074.3,1794315,450000,0,77091,7
