prov,head_sex,head_popgrp,head_age,hholdsz,mobphon_hh,wat_mun_source,lab_salary_hh,totalgrnt_hh,geotype,metro,quarter
Eastern Cape,Female,African/Black,40,1,1,Yes,13352,0,Urban,Non-metro,2
Eastern Cape,Female,African/Black,48,1,1,Yes,21583,0,Urban,Non-metro,2
Eastern Cape,Male,African/Black,55,5,3,Yes,25591,960,Urban,Non-metro,2
Eastern Cape,Female,African/Black,39,6,2,Yes,0,1920,Traditional,Non-metro,3
Eastern Cape,Female,African/Black,36,1,1,Yes,0,350,Traditional,Non-metro,3
Eastern Cape,Female,African/Black,39,4,3,Yes,13352,1070,Traditional,Non-metro,3
Eastern Cape,Female,African/Black,75,1,0,Yes,0,2010,Traditional,Non-metro,3
Eastern Cape,Female,African/Black,84,2,1,Yes,0,2360,Traditional,Non-metro,3
Eastern Cape,Female,African/Black,35,4,2,Yes,0,1440,Traditional,Non-metro,3
Eastern Cape,Male,African/Black,62,4,3,Yes,0,4460,Traditional,Non-metro,3
Eastern Cape,Female,African/Black,58,7,5,Yes,1000,1310,Traditional,Non-metro,3
Eastern Cape,Male,African/Black,34,5,2,No,1700,1660,Traditional,Non-metro,4
Eastern Cape,Male,African/Black,59,6,4,No,6508,960,Traditional,Non-metro,4
Eastern Cape,Female,African/Black,58,7,2,No,0,2620,Traditional,Non-metro,4
Eastern Cape,Male,African/Black,65,7,6,No,0,5440,Traditional,Non-metro,4
Eastern Cape,Male,African/Black,60,6,3,No,0,3780,Traditional,Non-metro,4
Eastern Cape,Female,African/Black,33,3,3,No,0,1050,Traditional,Non-metro,4
Eastern Cape,Female,African/Black,63,9,2,No,0,5700,Traditional,Non-metro,4
Eastern Cape,Female,African/Black,78,5,3,No,0,960,Traditional,Non-metro,3
Eastern Cape,Female,African/Black,45,4,4,No,13352,2010,Traditional,Non-metro,3
Eastern Cape,Male,African/Black,59,1,1,No,0,350,Traditional,Non-metro,3
Eastern Cape,Male,African/Black,58,7,4,No,0,1440,Traditional,Non-metro,3
Eastern Cape,Female,African/Black,39,3,1,No,0,960,Traditional,Non-metro,3
Eastern Cape,Female,African/Black,46,7,3,No,0,1920,Traditional,Non-metro,3
Eastern Cape,Male,African/Black,66,6,3,No,0,3430,Traditional,Non-metro,3
Eastern Cape,Female,African/Black,36,4,2,No,1000,1550,Traditional,Non-metro,3
Eastern Cape,Female,African/Black,35,9,1,No,0,3360,Traditional,Non-metro,1
Eastern Cape,Male,African/Black,19,1,0,No,0,0,Traditional,Non-metro,1
Eastern Cape,Female,African/Black,50,7,4,No,3650,4000,Traditional,Non-metro,1
Eastern Cape,Female,African/Black,74,10,2,No,0,5310,Traditional,Non-metro,1
Eastern Cape,Male,African/Black,67,5,0,No,0,2950,Traditional,Non-metro,1
Eastern Cape,Female,African/Black,60,8,3,No,0,4390,Traditional,Non-metro,1
Eastern Cape,Male,African/Black,21,2,2,No,0,0,Traditional,Non-metro,1
Eastern Cape,Female,African/Black,17,1,1,No,0,480,Traditional,Non-metro,1
Eastern Cape,Female,African/Black,64,4,2,No,0,3300,Traditional,Non-metro,1
Eastern Cape,Male,African/Black,33,6,1,Yes,5000,3430,Traditional,Non-metro,1
Eastern Cape,Male,African/Black,70,2,1,Yes,0,1990,Traditional,Non-metro,1
Eastern Cape,Female,African/Black,45,3,2,Yes,0,480,Traditional,Non-metro,1
Eastern Cape,Female,African/Black,39,7,5,No,3500,1440,Traditional,Non-metro,1
Eastern Cape,Male,African/Black,23,1,1,Yes,500,350,Traditional,Non-metro,1
Eastern Cape,Male,African/Black,35,3,1,Yes,5000,480,Traditional,Non-metro,1
Eastern Cape,Female,African/Black,41,8,1,Yes,0,3360,Traditional,Non-metro,1
Eastern Cape,Female,African/Black,31,2,1,No,800,480,Traditional,Non-metro,3
Eastern Cape,Male,African/Black,92,9,3,No,4000,6140,Traditional,Non-metro,3
Eastern Cape,Male,African/Black,41,2,0,No,500,0,Traditional,Non-metro,3
Eastern Cape,Female,African/Black,82,1,0,No,0,2010,Traditional,Non-metro,3
Eastern Cape,Female,African/Black,90,6,2,No,0,5790,Traditional,Non-metro,4
Eastern Cape,Female,African/Black,93,3,1,No,0,2490,Traditional,Non-metro,4
Eastern Cape,Male,African/Black,47,2,1,No,0,1990,Traditional,Non-metro,4
Eastern Cape,Female,African/Black,50,3,2,No,750,350,Traditional,Non-metro,4
Eastern Cape,Male,African/Black,64,7,5,No,800,4370,Traditional,Non-metro,4
Eastern Cape,Female,African/Black,48,5,3,No,2800,1660,Traditional,Non-metro,4
Eastern Cape,Female,African/Black,59,2,2,No,0,0,Traditional,Non-metro,4
Eastern Cape,Male,African/Black,45,2,2,No,0,700,Traditional,Non-metro,1
Eastern Cape,Male,African/Black,63,4,2,No,3500,2950,Traditional,Non-metro,1
Eastern Cape,Male,African/Black,43,5,2,No,0,1790,Traditional,Non-metro,1
Eastern Cape,Female,African/Black,38,5,1,No,800,960,Traditional,Non-metro,1
Eastern Cape,Female,African/Black,51,4,1,No,0,1440,Traditional,Non-metro,1
Eastern Cape,Female,African/Black,53,6,5,Yes,0,1310,Traditional,Non-metro,1
Eastern Cape,Male,African/Black,68,4,2,No,2900,4460,Traditional,Non-metro,1
Eastern Cape,Male,African/Black,60,10,3,Yes,1500,7100,Traditional,Non-metro,4
Eastern Cape,Female,African/Black,27,2,1,Yes,0,480,Traditional,Non-metro,4
Eastern Cape,Male,African/Black,38,5,4,No,0,1530,Traditional,Non-metro,4
Eastern Cape,Male,African/Black,69,12,7,Yes,0,7300,Traditional,Non-metro,4
Eastern Cape,Female,African/Black,46,5,1,No,0,1920,Traditional,Non-metro,4
Eastern Cape,Male,African/Black,29,1,1,No,2000,0,Traditional,Non-metro,2
Eastern Cape,Male,African/Black,45,1,1,Yes,0,1990,Traditional,Non-metro,2
Eastern Cape,Female,African/Black,65,1,1,Yes,0,1990,Traditional,Non-metro,2
Eastern Cape,Female,African/Black,60,5,3,No,1000,4480,Traditional,Non-metro,2
Eastern Cape,Female,African/Black,76,2,0,No,0,4000,Traditional,Non-metro,2
Eastern Cape,Female,African/Black,69,7,4,Yes,3760,5770,Traditional,Non-metro,2
Eastern Cape,Female,African/Black,71,5,3,Yes,0,2820,Traditional,Non-metro,2
Eastern Cape,Female,African/Black,35,4,2,Yes,0,1440,Traditional,Non-metro,2
Eastern Cape,Male,African/Black,48,1,1,No,800,0,Traditional,Non-metro,4
Eastern Cape,Female,African/Black,41,5,1,No,0,1920,Traditional,Non-metro,4
Eastern Cape,Female,African/Black,61,3,3,Yes,1000,2340,Traditional,Non-metro,4
Eastern Cape,Male,African/Black,54,5,3,Yes,0,2010,Traditional,Non-metro,4
Eastern Cape,Male,African/Black,24,1,1,Yes,500,0,Traditional,Non-metro,4
Eastern Cape,Male,African/Black,37,1,1,Yes,0,350,Traditional,Non-metro,4
Eastern Cape,Male,African/Black,31,1,0,No,0,350,Traditional,Non-metro,4
Eastern Cape,Female,African/Black,40,8,3,Yes,0,3230,Traditional,Non-metro,4
Eastern Cape,Male,African/Black,73,1,1,Yes,0,1990,Traditional,Non-metro,4
Eastern Cape,Female,African/Black,58,2,2,No,800,350,Traditional,Non-metro,4
Eastern Cape,Male,African/Black,66,9,4,No,0,4610,Traditional,Non-metro,4
Eastern Cape,Male,African/Black,101,3,2,No,0,4370,Traditional,Non-metro,4
Eastern Cape,Female,African/Black,57,4,3,No,0,1990,Traditional,Non-metro,1
Eastern Cape,Male,African/Black,87,8,3,No,0,7800,Traditional,Non-metro,1
Eastern Cape,Female,African/Black,43,3,1,Yes,0,480,Traditional,Non-metro,1
Eastern Cape,Female,African/Black,22,2,2,No,0,700,Traditional,Non-metro,1
Eastern Cape,Female,African/Black,76,7,2,Yes,500,4500,Traditional,Non-metro,1
Eastern Cape,Male,African/Black,89,3,1,Yes,0,2490,Traditional,Non-metro,1
Eastern Cape,Female,African/Black,51,3,3,Yes,780,0,Traditional,Non-metro,4
Eastern Cape,Female,African/Black,60,4,4,Yes,1500,3040,Traditional,Non-metro,4
Eastern Cape,Male,African/Black,55,1,1,Yes,500,0,Traditional,Non-metro,4
Eastern Cape,Male,African/Black,37,1,0,Yes,200,0,Traditional,Non-metro,4
Eastern Cape,Male,African/Black,68,8,3,Yes,0,6860,Traditional,Non-metro,4
Eastern Cape,Male,African/Black,59,2,2,No,0,0,Traditional,Non-metro,4
Eastern Cape,Female,African/Black,57,2,2,Yes,0,0,Traditional,Non-metro,4
Eastern Cape,Female,Coloured,71,1,1,Yes,0,0,Urban,Metro,4
Eastern Cape,Male,White,58,2,2,No,0,0,Urban,Metro,4
Eastern Cape,Female,White,35,4,2,Yes,140000,0,Urban,Metro,2
Eastern Cape,Female,White,48,1,1,No,14000,0,Urban,Metro,2
Eastern Cape,Female,White,71,1,1,Yes,0,0,Urban,Metro,2
Eastern Cape,Female,White,46,2,2,Yes,0,1990,Urban,Metro,3
Eastern Cape,Male,African/Black,27,2,2,Yes,3400,0,Urban,Metro,3
Eastern Cape,Male,African/Black,40,3,2,Yes,6958,0,Urban,Metro,3
Eastern Cape,Male,African/Black,32,3,2,Yes,6000,0,Urban,Metro,3
Eastern Cape,Male,African/Black,29,1,1,Yes,6958,0,Urban,Metro,3
Eastern Cape,Female,African/Black,66,6,0,Yes,3000,3780,Urban,Metro,1
Eastern Cape,Male,African/Black,32,2,1,Yes,6300,0,Urban,Metro,1
Eastern Cape,Male,African/Black,62,1,1,Yes,0,1990,Urban,Metro,1
Eastern Cape,Male,African/Black,47,5,2,Yes,0,830,Urban,Metro,1
Eastern Cape,Female,African/Black,38,2,2,Yes,0,700,Urban,Metro,1
Eastern Cape,Male,African/Black,45,1,0,Yes,0,350,Urban,Metro,1
Eastern Cape,Male,Coloured,46,4,4,Yes,42609,0,Urban,Metro,1
Eastern Cape,Male,White,54,3,3,Yes,43166,0,Urban,Metro,1
Eastern Cape,Male,White,63,2,2,Yes,0,0,Urban,Metro,1
Eastern Cape,Female,African/Black,46,5,3,Yes,12758,0,Urban,Metro,1
Eastern Cape,Female,White,61,3,3,No,42000,0,Urban,Metro,1
Eastern Cape,Male,White,46,4,4,Yes,64500,0,Urban,Metro,4
Eastern Cape,Female,Coloured,19,2,2,Yes,0,0,Urban,Metro,4
Eastern Cape,Male,African/Black,28,1,1,No,0,0,Urban,Metro,4
Eastern Cape,Male,African/Black,27,1,1,No,0,0,Urban,Metro,4
Eastern Cape,Female,White,42,3,3,Yes,17510,0,Urban,Metro,4
Eastern Cape,Male,Coloured,38,4,2,No,31058,0,Urban,Metro,4
Eastern Cape,Male,White,39,5,2,No,96667,0,Urban,Metro,4
Eastern Cape,Male,White,57,3,3,No,62000,0,Urban,Metro,4
Eastern Cape,Female,Indian/Asian,64,3,3,Yes,9475,1990,Urban,Metro,4
Eastern Cape,Female,African/Black,40,3,1,Yes,5257,960,Urban,Metro,1
Eastern Cape,Male,African/Black,43,4,2,Yes,10200,960,Urban,Metro,1
Eastern Cape,Male,African/Black,56,9,6,Yes,6958,1790,Urban,Metro,1
Eastern Cape,Female,African/Black,44,2,1,Yes,5257,480,Urban,Metro,1
Eastern Cape,Male,African/Black,45,5,3,Yes,7000,1200,Urban,Metro,1
Eastern Cape,Male,African/Black,64,6,1,Yes,0,3430,Urban,Metro,1
Eastern Cape,Female,African/Black,42,1,1,No,9475,0,Urban,Metro,3
Eastern Cape,Female,White,26,2,2,Yes,36583,0,Urban,Metro,3
Eastern Cape,Male,White,60,2,2,Yes,0,0,Urban,Metro,3
Eastern Cape,Male,African/Black,28,1,1,No,0,0,Urban,Metro,3
Eastern Cape,Female,White,85,1,0,No,0,0,Urban,Metro,1
Eastern Cape,Male,Indian/Asian,72,2,2,Yes,0,0,Urban,Metro,2
Eastern Cape,Male,African/Black,62,4,4,Yes,7500,1990,Urban,Metro,2
Eastern Cape,Male,White,52,3,2,Yes,13929,0,Urban,Metro,2
Eastern Cape,Male,African/Black,32,2,1,Yes,5994,0,Urban,Metro,2
Eastern Cape,Male,White,30,1,1,No,6958,0,Urban,Metro,2
Eastern Cape,Male,White,76,2,2,No,0,2010,Urban,Metro,2
Eastern Cape,Male,Coloured,60,7,6,Yes,14958,1990,Urban,Metro,2
Eastern Cape,Male,African/Black,71,1,0,Yes,0,1990,Urban,Metro,1
Eastern Cape,Male,African/Black,44,1,0,Yes,2997,0,Urban,Metro,1
Eastern Cape,Male,African/Black,53,2,2,Yes,5994,0,Urban,Metro,1
Eastern Cape,Female,African/Black,27,7,2,Yes,4246,960,Urban,Metro,1
Eastern Cape,Male,White,73,2,2,No,0,0,Urban,Metro,3
Eastern Cape,Male,White,52,4,4,No,34500,0,Urban,Metro,3
Eastern Cape,Male,White,44,4,3,No,12000,0,Urban,Metro,3
Eastern Cape,Male,White,85,3,3,No,0,0,Urban,Metro,3
Eastern Cape,Male,Coloured,32,4,1,Yes,5000,0,Urban,Metro,1
Eastern Cape,Female,Coloured,78,3,1,Yes,0,2010,Urban,Metro,1
Eastern Cape,Female,Coloured,75,1,1,Yes,0,2010,Urban,Metro,1
Eastern Cape,Female,Coloured,52,3,3,Yes,18514,0,Urban,Metro,1
Eastern Cape,Male,Coloured,38,3,2,Yes,13352,0,Urban,Metro,1
Eastern Cape,Female,Coloured,72,2,2,Yes,6000,1990,Urban,Metro,1
Eastern Cape,Male,Coloured,52,5,5,Yes,43929,0,Urban,Metro,1
Eastern Cape,Male,Coloured,45,5,0,Yes,0,2490,Urban,Metro,3
Eastern Cape,Male,Coloured,55,4,3,Yes,6958,0,Urban,Metro,3
Eastern Cape,Male,Coloured,41,2,0,Yes,5994,0,Urban,Metro,3
Eastern Cape,Male,Coloured,54,6,0,Yes,0,2360,Urban,Metro,3
Eastern Cape,Male,Coloured,25,1,0,Yes,2997,0,Urban,Metro,3
Eastern Cape,Male,Coloured,78,2,2,Yes,0,0,Urban,Metro,2
Eastern Cape,Male,Coloured,75,5,5,Yes,9475,4000,Urban,Metro,2
Eastern Cape,Male,Coloured,59,3,3,No,55800,0,Urban,Metro,2
Eastern Cape,Male,Coloured,54,4,4,Yes,10500,0,Urban,Metro,2
Eastern Cape,Male,Coloured,63,4,4,No,25000,1990,Urban,Metro,2
Eastern Cape,Male,Coloured,80,7,6,No,9500,0,Urban,Metro,2
Eastern Cape,Male,White,52,4,4,No,13500,0,Urban,Metro,2
Eastern Cape,Female,White,20,4,4,No,65000,0,Urban,Metro,2
Eastern Cape,Male,White,59,3,3,No,13500,0,Urban,Metro,2
Eastern Cape,Female,Indian/Asian,86,3,3,No,25000,2010,Urban,Metro,3
Eastern Cape,Male,African/Black,34,4,2,No,18000,0,Urban,Metro,3
Eastern Cape,Male,White,53,2,2,No,2000,0,Urban,Metro,3
Eastern Cape,Male,Coloured,41,3,3,Yes,22827,0,Urban,Metro,3
Eastern Cape,Female,White,81,1,0,Yes,0,0,Urban,Metro,3
Eastern Cape,Male,White,67,2,2,No,0,1990,Urban,Metro,3
Eastern Cape,Male,Coloured,36,2,2,Yes,34935,0,Urban,Metro,2
Eastern Cape,Male,Coloured,40,4,3,No,60000,0,Urban,Metro,2
Eastern Cape,Male,African/Black,38,4,3,Yes,31000,0,Urban,Metro,2
Eastern Cape,Male,White,40,3,2,No,18500,0,Urban,Metro,2
Eastern Cape,Male,Coloured,40,3,2,No,14000,0,Urban,Metro,2
Eastern Cape,Male,White,49,1,1,No,15000,0,Urban,Metro,2
Eastern Cape,Male,Indian/Asian,85,2,2,No,0,0,Urban,Metro,2
Eastern Cape,Male,White,62,6,6,Yes,44410,0,Urban,Metro,2
Eastern Cape,Male,Indian/Asian,60,3,3,No,48958,0,Urban,Metro,2
Eastern Cape,Male,White,34,2,2,Yes,35000,0,Urban,Metro,1
Eastern Cape,Female,White,77,1,1,Yes,0,0,Urban,Metro,1
Eastern Cape,Male,White,40,5,4,Yes,516667,0,Urban,Metro,1
Eastern Cape,Female,White,59,3,3,Yes,30000,0,Urban,Metro,1
Eastern Cape,Male,White,56,2,2,Yes,30000,0,Urban,Metro,1
Eastern Cape,Male,Coloured,68,3,3,No,13352,0,Urban,Metro,2
Eastern Cape,Male,African/Black,42,4,3,Yes,33000,0,Urban,Metro,2
Eastern Cape,Male,White,54,3,3,No,35000,0,Urban,Metro,2
Eastern Cape,Male,White,67,2,2,No,0,0,Urban,Metro,2
Eastern Cape,Male,Coloured,45,5,4,Yes,22300,0,Urban,Metro,2
Eastern Cape,Female,White,54,1,1,Yes,0,0,Urban,Metro,2
Eastern Cape,Female,Coloured,65,3,2,Yes,0,4460,Urban,Metro,4
Eastern Cape,Male,Coloured,46,3,2,Yes,0,1420,Urban,Metro,4
Eastern Cape,Male,Coloured,52,4,3,Yes,5257,1990,Urban,Metro,4
Eastern Cape,Male,Indian/Asian,22,3,3,Yes,20874,0,Urban,Metro,4
Eastern Cape,Male,Coloured,39,9,4,Yes,10514,1310,Urban,Metro,4
Eastern Cape,Male,Coloured,30,2,2,Yes,16433,0,Urban,Metro,4
Eastern Cape,Female,Coloured,41,3,3,Yes,5257,700,Urban,Metro,4
Eastern Cape,Male,Coloured,53,4,3,Yes,10514,480,Urban,Metro,4
Eastern Cape,Male,Coloured,35,7,4,Yes,0,1440,Urban,Metro,4
Eastern Cape,Male,White,79,1,1,Yes,0,0,Urban,Metro,4
Eastern Cape,Male,White,69,2,2,No,21583,0,Urban,Metro,4
Eastern Cape,Male,White,51,4,4,No,59000,0,Urban,Metro,4
Eastern Cape,Female,White,77,1,1,No,0,0,Urban,Metro,4
Eastern Cape,Male,White,84,2,2,No,0,0,Urban,Metro,4
Eastern Cape,Male,White,76,2,2,Yes,0,0,Urban,Metro,4
Eastern Cape,Male,White,76,2,2,No,0,0,Urban,Metro,2
Eastern Cape,Male,White,58,2,2,No,0,0,Urban,Metro,2
Eastern Cape,Female,White,79,3,3,Yes,0,0,Urban,Metro,2
Eastern Cape,Male,Coloured,57,4,4,No,32852,0,Urban,Metro,2
Eastern Cape,Female,White,50,3,3,No,18950,0,Urban,Metro,1
Eastern Cape,Male,White,64,2,2,Yes,0,0,Urban,Metro,1
Eastern Cape,Male,White,81,2,2,No,0,0,Urban,Metro,4
Eastern Cape,Male,White,80,2,2,No,0,0,Urban,Metro,4
Eastern Cape,Female,White,75,1,1,No,0,0,Urban,Metro,4
Eastern Cape,Male,White,85,2,2,No,0,0,Urban,Metro,4
Eastern Cape,Male,African/Black,69,4,4,Yes,4500,0,Urban,Metro,4
Eastern Cape,Male,White,81,2,2,Yes,0,0,Urban,Metro,4
Eastern Cape,Male,Coloured,54,4,4,Yes,20000,0,Urban,Metro,2
Eastern Cape,Male,White,26,2,2,No,10514,0,Urban,Metro,2
Eastern Cape,Male,White,48,3,3,No,12215,0,Urban,Metro,2
Eastern Cape,Male,White,23,2,2,No,14010,0,Urban,Metro,2
Eastern Cape,Female,Coloured,66,2,2,Yes,3500,1990,Urban,Metro,2
Eastern Cape,Male,White,66,3,3,Yes,6958,3980,Urban,Metro,2
Eastern Cape,Male,Coloured,30,1,0,Yes,2997,0,Urban,Metro,3
Eastern Cape,Male,Coloured,47,1,1,Yes,5257,0,Urban,Metro,3
Eastern Cape,Male,Coloured,30,1,1,Yes,5257,0,Urban,Metro,3
Eastern Cape,Female,Coloured,61,4,3,Yes,0,2690,Urban,Metro,3
Eastern Cape,Female,Coloured,62,2,2,Yes,0,2340,Urban,Metro,3
Eastern Cape,Male,Coloured,62,2,2,Yes,5257,1990,Urban,Metro,3
Eastern Cape,Male,Coloured,38,4,2,Yes,13916,0,Urban,Metro,3
Eastern Cape,Male,Coloured,52,5,3,Yes,8429,480,Urban,Metro,3
Eastern Cape,Female,African/Black,62,2,2,Yes,0,0,Urban,Metro,1
Eastern Cape,Male,African/Black,74,2,2,Yes,0,0,Urban,Metro,1
Eastern Cape,Female,African/Black,37,5,1,Yes,4800,480,Urban,Metro,1
Eastern Cape,Male,African/Black,53,3,3,Yes,10800,0,Urban,Metro,1
Eastern Cape,Female,African/Black,48,2,1,Yes,21583,0,Urban,Metro,1
Eastern Cape,Female,African/Black,38,4,1,Yes,21583,0,Urban,Metro,1
Eastern Cape,Female,African/Black,40,3,3,Yes,2900,480,Urban,Metro,4
Eastern Cape,Male,African/Black,36,1,1,Yes,9475,0,Urban,Metro,4
Eastern Cape,Male,African/Black,68,3,3,Yes,1200,2470,Urban,Metro,4
Eastern Cape,Male,African/Black,71,3,3,Yes,0,3980,Urban,Metro,4
Eastern Cape,Female,African/Black,56,3,2,Yes,2997,0,Urban,Metro,4
Eastern Cape,Female,African/Black,40,5,4,Yes,5257,2950,Urban,Metro,4
Eastern Cape,Male,African/Black,47,3,3,Yes,8500,0,Urban,Metro,4
Eastern Cape,Female,African/Black,68,7,3,Yes,0,2470,Urban,Metro,2
Eastern Cape,Male,African/Black,64,12,5,Yes,7500,4870,Urban,Metro,2
Eastern Cape,Female,African/Black,62,3,2,Yes,0,2470,Urban,Metro,2
Eastern Cape,Female,African/Black,38,3,1,Yes,0,960,Urban,Metro,3
Eastern Cape,Female,African/Black,45,4,2,Yes,9475,0,Urban,Metro,3
Eastern Cape,Male,African/Black,37,4,4,Yes,7000,2340,Urban,Metro,3
Eastern Cape,Male,African/Black,32,1,0,Yes,2700,0,Urban,Metro,3
Eastern Cape,Female,African/Black,35,5,3,Yes,2008,1660,Urban,Metro,3
Eastern Cape,Male,African/Black,39,1,1,Yes,3500,0,Urban,Metro,3
Eastern Cape,Male,African/Black,46,3,1,Yes,0,480,Urban,Metro,1
Eastern Cape,Male,African/Black,39,4,1,Yes,3300,960,Urban,Metro,1
Eastern Cape,Male,African/Black,60,2,1,Yes,800,0,Urban,Metro,1
Eastern Cape,Male,African/Black,35,3,2,Yes,0,1990,Urban,Metro,1
Eastern Cape,Female,African/Black,40,4,3,Yes,4000,0,Urban,Metro,1
Eastern Cape,Male,African/Black,36,2,2,No,5400,0,Urban,Metro,1
Eastern Cape,Male,African/Black,22,2,2,Yes,4000,0,Urban,Metro,1
Eastern Cape,Female,African/Black,76,3,3,Yes,0,2010,Urban,Metro,1
Eastern Cape,Male,African/Black,28,1,1,Yes,5200,0,Urban,Metro,1
Eastern Cape,Female,African/Black,66,3,2,Yes,0,3980,Urban,Metro,1
Eastern Cape,Female,African/Black,40,3,2,Yes,2008,0,Urban,Metro,1
Eastern Cape,Female,African/Black,55,2,1,Yes,2997,0,Urban,Metro,1
Eastern Cape,Female,African/Black,53,1,1,Yes,21583,0,Urban,Metro,1
Eastern Cape,Female,African/Black,39,4,3,Yes,9475,0,Urban,Metro,1
Eastern Cape,Male,African/Black,83,5,3,Yes,20000,2490,Urban,Metro,1
Eastern Cape,Female,African/Black,47,3,3,Yes,6958,0,Urban,Metro,1
Eastern Cape,Male,African/Black,38,1,0,Yes,0,0,Urban,Metro,3
Eastern Cape,Male,African/Black,41,5,3,Yes,6500,1440,Urban,Metro,3
Eastern Cape,Male,African/Black,58,1,1,No,0,0,Urban,Metro,3
Eastern Cape,Female,African/Black,58,5,4,Yes,16433,0,Urban,Metro,3
Eastern Cape,Male,African/Black,71,1,0,No,0,1990,Urban,Metro,3
Eastern Cape,Female,African/Black,70,1,1,Yes,0,1990,Urban,Metro,3
Eastern Cape,Male,African/Black,42,3,2,Yes,3929,830,Urban,Metro,4
Eastern Cape,Male,African/Black,53,6,6,Yes,8508,0,Urban,Metro,4
Eastern Cape,Female,African/Black,60,2,2,Yes,3800,0,Urban,Metro,4
Eastern Cape,Male,African/Black,51,1,0,Yes,0,350,Urban,Metro,4
Eastern Cape,Female,African/Black,43,3,3,Yes,9200,480,Urban,Metro,4
Eastern Cape,Male,African/Black,51,1,1,Yes,6000,0,Urban,Metro,4
Eastern Cape,Female,African/Black,44,3,3,Yes,21583,0,Urban,Metro,4
Eastern Cape,Male,African/Black,29,4,4,Yes,2997,0,Urban,Metro,4
Eastern Cape,Female,African/Black,64,5,4,Yes,34935,2470,Urban,Metro,4
Eastern Cape,Female,African/Black,60,3,3,Yes,11757,0,Urban,Metro,4
Eastern Cape,Female,Coloured,58,4,4,Yes,15000,700,Urban,Metro,4
Eastern Cape,Male,Coloured,52,4,4,Yes,40385,0,Urban,Metro,4
Eastern Cape,Female,Coloured,72,1,1,Yes,0,1990,Urban,Metro,4
Eastern Cape,Male,Coloured,65,4,4,Yes,3800,3980,Urban,Metro,4
Eastern Cape,Male,Coloured,61,2,2,Yes,6506,1990,Urban,Metro,4
Eastern Cape,Female,African/Black,41,1,1,Yes,2997,0,Urban,Metro,3
Eastern Cape,Female,African/Black,40,11,4,Yes,5257,4410,Urban,Metro,3
Eastern Cape,Female,African/Black,61,6,0,Yes,0,3300,Urban,Metro,3
Eastern Cape,Female,African/Black,78,5,3,Yes,6757,2490,Urban,Metro,3
Eastern Cape,Male,African/Black,69,2,0,Yes,0,2340,Urban,Metro,3
Eastern Cape,Male,African/Black,38,9,6,No,8500,2010,Urban,Metro,3
Eastern Cape,Female,African/Black,65,11,3,Yes,11251,4610,Urban,Metro,4
Eastern Cape,Male,African/Black,61,2,2,Yes,5929,1990,Urban,Metro,4
Eastern Cape,Female,African/Black,66,3,1,Yes,0,2820,Urban,Metro,4
Eastern Cape,Female,African/Black,48,4,4,Yes,2008,480,Urban,Metro,4
Eastern Cape,Female,African/Black,52,2,1,Yes,0,700,Urban,Metro,4
Eastern Cape,Male,African/Black,43,1,1,Yes,0,0,Urban,Metro,4
Eastern Cape,Male,African/Black,45,6,3,Yes,4600,1440,Urban,Metro,1
Eastern Cape,Female,African/Black,45,4,2,Yes,0,1440,Urban,Metro,1
Eastern Cape,Male,African/Black,50,2,2,Yes,736,350,Urban,Metro,1
Eastern Cape,Female,African/Black,44,2,2,Yes,0,480,Urban,Metro,1
Eastern Cape,Female,African/Black,47,1,1,Yes,3500,0,Urban,Metro,1
Eastern Cape,Female,African/Black,45,6,3,Yes,6958,2470,Urban,Metro,1
Eastern Cape,Male,African/Black,33,3,2,Yes,3500,0,Urban,Metro,1
Eastern Cape,Male,African/Black,34,2,2,Yes,7265,0,Urban,Metro,4
Eastern Cape,Male,African/Black,65,5,2,Yes,1249,2950,Urban,Metro,4
Eastern Cape,Female,African/Black,33,4,2,Yes,2997,1310,Urban,Metro,4
Eastern Cape,Female,African/Black,66,1,1,Yes,0,1990,Urban,Metro,4
Eastern Cape,Female,African/Black,62,6,0,Yes,3257,3760,Urban,Metro,4
Eastern Cape,Male,African/Black,59,5,1,Yes,0,1790,Urban,Metro,4
Eastern Cape,Male,Coloured,35,4,4,Yes,6000,2820,Urban,Metro,4
Eastern Cape,Male,Coloured,49,3,3,Yes,13352,0,Urban,Metro,4
Eastern Cape,Female,Coloured,76,1,1,Yes,0,0,Urban,Metro,4
Eastern Cape,Female,Coloured,63,5,2,Yes,0,3430,Urban,Metro,4
Eastern Cape,Male,Coloured,64,6,4,Yes,9200,2950,Urban,Metro,4
Eastern Cape,Male,Coloured,45,4,2,Yes,12215,0,Urban,Metro,4
Eastern Cape,Male,Coloured,49,3,3,No,9475,0,Urban,Metro,4
Eastern Cape,Female,Coloured,65,1,1,Yes,0,1990,Urban,Metro,4
Eastern Cape,Female,Coloured,75,8,3,Yes,3000,5790,Urban,Metro,4
Eastern Cape,Male,African/Black,68,8,4,Yes,0,4940,Urban,Metro,1
Eastern Cape,Female,African/Black,36,4,4,Yes,21583,0,Urban,Metro,1
Eastern Cape,Male,African/Black,74,7,5,Yes,6958,5420,Urban,Metro,1
Eastern Cape,Female,African/Black,45,1,1,Yes,0,0,Urban,Metro,1
Eastern Cape,Male,African/Black,47,4,3,Yes,45500,0,Urban,Metro,1
Eastern Cape,Female,African/Black,57,1,1,Yes,0,0,Urban,Metro,1
Eastern Cape,Male,Coloured,41,7,5,Yes,60000,1990,Urban,Metro,3
